ID,PROGRAMME,EMAIL,PHONE NUMBER,LEVEL,DATE,STATUS
1,MEDILAB,student1@school.edu,0247680003,400,2024-06-06,Active
2,ELCTRICAL ENGINEERING,student2@school.edu,0246122567,100,2022-01-16,Active
3,COMPUTER SOFTWARE,student3@school.edu,0246312664,300,2025-04-06,Active
4,HCIM,student4@school.edu,0248735796,200,2022-06-11,Active
5,COMPUTER SOFTWARE,student5@school.edu,0241721953,100,2024-04-27,Active
6,ACCOUNTING,student6@school.edu,0246367221,300,2023-05-26,Active
7,ELCTRICAL ENGINEERING,student7@school.edu,0247332641,100,2022-07-12,Active
8,HCIM,student8@school.edu,0244468063,200,2025-11-30,Active
9,CYBER SECURITY ENGINEERING,student9@school.edu,0248770465,400,2024-10-03,Active
10,MECH ENGINEERING,student10@school.edu,0249255554,400,2023-06-08,Active
11,HCIM,student11@school.edu,0241696554,400,2024-12-06,Active
12,HCIM,student12@school.edu,0246345363,100,2023-12-05,Active
13,ACCOUNTING,student13@school.edu,0246523624,300,2023-08-21,Active
14,MECH ENGINEERING,student14@school.edu,0246844147,300,2023-03-21,Active
15,ACCOUNTING,student15@school.edu,0241382581,400,2023-02-25,Active
16,LAB TECH,student16@school.edu,0248007764,400,2025-06-29,Active
17,ELCTRICAL ENGINEERING,student17@school.edu,0241185399,100,2025-06-01,Active
18,MECH ENGINEERING,student18@school.edu,0244897099,200,2023-09-14,Active
19,HCIM,student19@school.edu,0242270929,300,2023-03-13,Active
20,COMPUTER SOFTWARE,student20@school.edu,0241470339,200,2022-12-23,Active
21,LAB TECH,student21@school.edu,0248259253,100,2025-03-29,Active
22,COMPUTER SOFTWARE,student22@school.edu,0247054894,300,2022-12-15,Active
23,CIVIL ENGINEERING,student23@school.edu,0246258850,300,2023-01-18,Active
24,COMPUTER SOFTWARE,student24@school.edu,0245418190,100,2022-02-09,Active
25,COMPUTER SOFTWARE,student25@school.edu,0243209974,100,2025-08-15,Active
26,MEDILAB,student26@school.edu,0245345245,400,2025-02-10,Active
